Año,E m p r e s a / Air Carrier,1,2,3,4,5,6,7,8,9,10,11,12,Total / Total
2019,Aéreo Calafia,24399,20074,24631,26137,24578,24034,24398,22090,15863,19701,15593,14577,256075
2019,Aeromar,58031,57214,65023,62768,60054,63902,73955,67450,59968,66179,72021,77703,784268
2019,Aeroméxico (Aerovías de México),446823,411787,459572,422543,452122,401152,414120,430288,431066,524891,506276,452651,5353291
2019,Aeroméxico Connect (Aerolitoral),611869,558927,666221,627646,678490,650497,712141,655731,582088,651650,606161,649536,7650957
2019,Interjet (ABC Aerolíneas),766225,701938,875192,903577,976900,922114,1003287,958899,752852,841495,901134,961950,10565563
2019,Magnicharters (Grupo Aéreo Monterrey),45885,31139,40758,54469,74030,90790,112757,88036,61638,57392,54165,72539,783598
2019,Transportes Aéreos Regionales (TAR),45704,40877,49242,50399,51746,47162,53404,47511,42002,40850,41740,45759,556396
2019,Vivaaerobus (Aeroenlaces),755742,599550,743339,853729,897442,932901,1103325,1066768,885139,978927,973490,1016373,10806725
2019,Volaris (Concesionaria Vuela Cia de Aviación),1234660,1169411,1386887,1437064,1489027,1423210,1507674,1428408,1356786,1435937,1441235,1464069,16774368
