E m p r e s a / Air Carrier,Ene/Jan,Feb/Feb,Mar/Mar,Abr/Apr,May/May,Jun/Jun,Jul/Jul,Ago/Aug,Sep/Sep,Oct/Oct,Nov/Nov,Dic/Dec,Total / Total
ABC Aerolíneas,"48,938","47,888","75,009","84,467","91,308","109,805","126,065","145,885","119,757","128,944","129,427","145,640","1,253,133"
Aerocalifornia,"121,445","118,227",0,0,0,0,0,"27,063","55,528","75,033","86,949","87,445","571,690"
Aeroenlaces,0,0,0,0,0,0,0,0,0,0,"1,942","65,247","67,189"
Aerolineas Mesoamericanas,0,0,0,0,0,"3,173","17,696","19,175","27,187","43,165","43,216","54,752","208,364"
Aerolitoral (Servicios Aéreos Litoral  S.A de C.V) ,"66,590","61,484","71,174","68,809","141,142","133,874","133,466","126,820","108,353","108,079","105,421","101,718","1,226,930"
Aeromar,"45,676","48,445","57,699","54,343","61,460","56,503","53,219","56,322","54,641","57,615","54,116","41,310","641,349"
Aerovías Caribe S.A  de C.V,"106,191","104,006","129,310","117,027","109,756","115,629","138,486","119,387","101,363","124,188","125,217","119,799","1,410,359"
Aeroméxico (Aerovías de México),"471,756","465,120","572,890","568,972","570,452","509,724","539,037","528,201","432,637","467,137","481,141","461,322","6,068,389"
Aviacsa (Consorcio Aviaxsa),"247,472","212,075","243,164","233,573","253,034","232,588","290,819","272,838","231,847","282,411","292,374","312,041","3,104,236"
Avolar,"8,894","8,980","10,481","23,726","23,975","32,719","52,188","46,420","47,973","54,754","49,905","67,479","427,494"
Grupo  Aereo Monterrey,"37,951","28,221","37,683","61,750","47,903","56,656","75,907","74,131","46,234","48,320","46,282","63,754","624,792"
Lineas Aereas Azteca,"85,903","79,288","91,207","106,658","103,648","92,061","102,420","99,163","80,167","84,064","81,468","85,884","1,091,931"
Mexicana (Mexicana de Aviación),"346,012","358,553","432,922","390,282","406,467","388,097","436,411","409,072","334,730","353,464","369,205","347,524","4,572,739"
Vuela,0,0,"25,212","66,982","63,461","81,340","123,171","112,122","99,411","110,374","103,351",110689,"896,113"
