Fecha,Pasajeros
2007-1,59961
2007-2,53302
2007-3,86742
2007-4,84777
2007-5,115052
2007-6,116730
2007-7,156818
2007-8,130740
2007-9,85980
2007-10,95419
2007-11,109521
2007-12,121057
2008-1,93269
2008-2,113186
2008-3,151059
2008-4,135538
2008-5,139639
2008-6,124340
2008-7,145063
2008-8,109566
2008-9,72294
2008-10,72947
2008-11,81565
2008-12,95690
2009-1,76800
2009-2,67079
2009-3,82074
2009-4,108057
2009-5,96517
2009-6,136749
2009-7,181436
2009-8,149958
2009-9,111348
2009-10,138165
2009-11,127898
2009-12,147355
2010-1,125264
2010-2,114937
2010-3,169320
2010-4,162703
2010-5,186067
2010-6,183169
2010-7,258099
2010-8,195782
2010-9,146119
2010-10,203204
2010-11,194341
2010-12,228103
2011-1,189179
2011-2,158314
2011-3,209606
2011-4,242708
2011-5,250489
2011-6,236998
2011-7,335593
2011-8,300870
2011-9,235297
2011-10,237648
2011-11,243494
2011-12,296170
2012-1,223444
2012-2,206603
2012-3,232081
2012-4,259984
2012-5,288537
2012-6,295998
2012-7,389238
2012-8,358152
2012-9,294857
2012-10,307189
2012-11,306653
2012-12,356627
2013-1,284034
2013-2,243858
2013-3,345863
2013-4,313948
2013-5,299470
2013-6,315614
2013-7,411323
2013-8,344823
2013-9,263263
2013-10,289875
2013-11,292315
2013-12,329873
2014-1,280642
2014-2,233864
2014-3,275463
2014-4,332642
2014-5,329854
2014-6,328870
2014-7,426898
2014-8,385320
2014-9,291581
2014-10,306346
2014-11,331498
2014-12,374276
2015-1,310806
2015-2,268736
2015-3,326644
2015-4,350921
2015-5,330071
2015-6,327519
2015-7,473018
2015-8,450809
2015-9,343200
2015-10,375886
2015-11,375863
2015-12,427947
2016-1,369434
2016-2,300028
2016-3,435102
2016-4,395038
2016-5,447809
2016-6,474827
2016-7,697493
2016-8,651743
2016-9,515585
2016-10,538666
2016-11,549545
2016-12,600475
2017-1,533459
2017-2,431035
2017-3,542394
2017-4,622233
2017-5,624453
2017-6,676930
2017-7,803799
2017-8,770673
2017-9,598539
2017-10,655225
2017-11,678323
2017-12,715218
2018-1,639443
2018-2,554875
2018-3,706824
2018-4,711760
2018-5,741061
2018-6,746330
2018-7,921247
2018-8,897879
2018-9,743064
2018-10,778889
2018-11,809008
2018-12,862082
2019-1,755742
2019-2,599550
2019-3,743339
2019-4,853729
2019-5,897442
2019-6,932901
2019-7,1103325
2019-8,1066768
2019-9,885139
2019-10,978927
2019-11,973490
2019-12,1016373
2020-1,919635
2020-2,841486
2020-3,680510
2020-4,89829
2020-5,90419
2020-6,192046
2020-7,396170
2020-8,563349
2020-9,630833
2020-10,759003
2020-11,816192
2020-12,917233
2021-1,702073
2021-2,566659
2021-3,933260
2021-4,950992
2021-5,1070110
2021-6,1103761
2021-7,1309097
2021-8,1134685
2021-9,1005707
2021-10,1188600
2021-11,1244013
2021-12,1365606
2022-1,1173978
2022-2,1012667
2022-3,1303207
2022-4,1420556
2022-5,1474595
2022-6,1464804
2022-7,1644599
2022-8,1602163
2022-9,1380695
2022-10,1563987
2022-11,1632820
2022-12,1695678
